,epoch,map,asw,asw_batch,gc,nc,sas,foscttm,biology conservation,omics mixing,Overall integration score
0,1,0.519369003960433,0.4686446562409401,0.9218294024467468,0.8278794689650889,0.0993921139725022,0.5649410974067046,0.1189216739911677,0.0,0.20835078126665843,0.08334031250666338
1,2,0.6284803647820901,0.5063366494141519,0.9266055226325989,0.8598246701310934,0.14216456101834424,0.6612087879506641,0.06440286926347158,0.506375070908995,0.3951406357499854,0.46188129684539114
2,3,0.6655880429871016,0.5360797084867954,0.8939951062202454,0.8936734938584902,0.1634557083329361,0.6929063460061443,0.04549928493810701,0.7732590884063285,0.44292333307191484,0.6411247862725631
3,4,0.6844204767094824,0.5390849635004997,0.8996682167053223,0.899920871066981,0.17820502729634663,0.6321633113931056,0.038502400645576806,0.8720227356815204,0.42972933151976017,0.6951053740168163
4,5,0.691706484293084,0.5482692494988441,0.8624237179756165,0.8917267817826081,0.18547884256749247,0.6296753580464444,0.03436083114964519,0.9493498892058102,0.30766059329106704,0.6926741708399129
5,6,0.6871287175078865,0.5342578738927841,0.8882280588150024,0.8856070653125195,0.18471854015500594,0.7696782594086021,0.027424346892072064,0.879721584764666,0.46262532882943347,0.712883082390573
6,7,0.6986555793898341,0.5424778163433075,0.839710533618927,0.899501544075175,0.19257483938134234,0.5931536677170869,0.028911218765581646,0.9627461035055841,0.24602117576553537,0.6760561324095645
7,8,0.6904084196689672,0.5395496338605881,0.9267598390579224,0.9099877800693198,0.18992306678741455,0.7979041541011567,0.022405766630354665,0.926192655701986,0.6585862306996266,0.8191500857010423
8,9,0.6906165126542712,0.5313659682869911,0.9222217798233032,0.9234895305040574,0.19088446751713464,0.8439263936421344,0.018448678699307726,0.8957053795440761,0.7250376083228366,0.8274382710555803
9,10,0.7034998820950797,0.5380291827023029,0.9246700406074524,0.9233452669701754,0.19377524604735347,0.7966057768873678,0.020068481459426305,0.957131892808655,0.6940761821953562,0.8519096085633354
10,11,0.6992491156161789,0.53529092669487,0.9331321716308594,0.9330365386718027,0.19127424700561163,0.860994133036279,0.015444960755714172,0.9291407208180141,0.7958397254563598,0.8758203226733524
11,12,0.695712662364481,0.5337181426584721,0.9476467967033386,0.9343992118460385,0.18839197694625454,0.9310232913730009,0.012368168578918082,0.9059751666278446,0.891274164299824,0.9000947656966364
12,13,0.6921579678785386,0.5344469100236893,0.937849223613739,0.931099536123558,0.18626683703336927,0.9071267619951207,0.011878666484655017,0.8950855607718694,0.8375460493854673,0.8720697562173085
13,14,0.6892310074483923,0.5326435379683971,0.9493411779403687,0.9255974477090045,0.1848711194180775,0.938793170998238,0.011069317307275409,0.877308126171232,0.8740592417604424,0.8760085724069162
14,15,0.6821342527686901,0.53001993522048,0.9590445756912231,0.9331029257971387,0.1815111070908811,0.9747459719775007,0.008381889767558028,0.8416110362600099,0.9500655664987008,0.8849928483554863
15,16,0.6748466253071546,0.5271135810762644,0.9672222137451172,0.9290391648045164,0.1805241556675244,0.9898701163933314,0.006959151030827264,0.8127656726413847,0.9698335948592955,0.875592841528549
16,17,0.6727410514671494,0.5263286307454109,0.9708983302116394,0.9291448397451656,0.1795987048961586,0.9941432722282462,0.00682985444939444,0.8023994734509344,0.9828073207400392,0.8745626123665764
17,18,0.6723647567833733,0.5261205583810806,0.9707682728767395,0.9286668971546421,0.17922623699098128,0.9942105118256981,0.006903877836084735,0.7995317624551129,0.9810338896662856,0.872132613339582
18,19,0.6722846642068825,0.5259755812585354,0.9710897207260132,0.9280562086632882,0.17912029427346043,0.9944841469854071,0.00677896006312146,0.7984056926022944,0.9801507745224924,0.8711037253703736
19,20,0.679795028644559,0.5284911561757326,0.9670184254646301,0.9267714284325631,0.1806875602730038,0.9807600333480166,0.008208798044526462,0.828067854544622,0.9551505027931301,0.8789009138440251
